filenames,count,mean_distance
"['data/images/Apex_Legends_0.png', 'data/images/.ipynb_checkpoints/Apex_Legends_0-checkpoint.png']",2,1.0
"['data/images/The_Sims4_3083.png', 'data/images/The_Sims4_3085.png', 'data/images/The_Sims4_3087.png', 'data/images/The_Sims4_3089.png']",4,1.0
"['data/images/The_Sims4_2962.png', 'data/images/The_Sims4_2964.png']",2,1.0
"['data/images/The_Sims4_2974.png', 'data/images/The_Sims4_2976.png']",2,1.0
"['data/images/The_Sims4_2975.png', 'data/images/The_Sims4_2977.png']",2,1.0
"['data/images/The_Sims4_2980.png', 'data/images/The_Sims4_2982.png']",2,1.0
"['data/images/The_Sims4_2981.png', 'data/images/The_Sims4_2983.png']",2,1.0
"['data/images/The_Sims4_29.png', 'data/images/The_Sims4_36.png']",2,1.0
"['data/images/The_Sims4_3005.png', 'data/images/The_Sims4_3006.png']",2,1.0
"['data/images/The_Sims4_3007.png', 'data/images/The_Sims4_3010.png']",2,1.0
"['data/images/The_Sims4_3019.png', 'data/images/The_Sims4_3021.png']",2,1.0
"['data/images/The_Sims4_3020.png', 'data/images/The_Sims4_3022.png']",2,1.0
"['data/images/The_Sims4_302.png', 'data/images/The_Sims4_304.png']",2,1.0
"['data/images/The_Sims4_3036.png', 'data/images/The_Sims4_3037.png']",2,1.0
"['data/images/The_Sims4_303.png', 'data/images/The_Sims4_305.png']",2,1.0
"['data/images/The_Sims4_3046.png', 'data/images/The_Sims4_3047.png', 'data/images/The_Sims4_3048.png', 'data/images/The_Sims4_3049.png', 'data/images/The_Sims4_3050.png']",5,1.0
"['data/images/The_Sims4_3053.png', 'data/images/The_Sims4_3055.png']",2,1.0
"['data/images/The_Sims4_3054.png', 'data/images/The_Sims4_3056.png']",2,1.0
"['data/images/The_Sims4_3066.png', 'data/images/The_Sims4_3068.png']",2,1.0
"['data/images/The_Sims4_3067.png', 'data/images/The_Sims4_3069.png']",2,1.0
"['data/images/The_Sims4_3072.png', 'data/images/The_Sims4_3075.png']",2,1.0
"['data/images/The_Sims4_3073.png', 'data/images/The_Sims4_3076.png']",2,1.0
"['data/images/The_Sims4_3074.png', 'data/images/The_Sims4_3077.png']",2,1.0
"['data/images/The_Sims4_2961.png', 'data/images/The_Sims4_2963.png']",2,1.0
"['data/images/The_Sims4_2957.png', 'data/images/The_Sims4_2958.png']",2,1.0
"['data/images/The_Sims4_2948.png', 'data/images/The_Sims4_2949.png']",2,1.0
"['data/images/The_Sims4_2819.png', 'data/images/The_Sims4_2822.png']",2,1.0
"['data/images/The_Sims4_2795.png', 'data/images/The_Sims4_2797.png']",2,1.0
"['data/images/The_Sims4_2798.png', 'data/images/The_Sims4_2799.png']",2,1.0
"['data/images/The_Sims4_27.png', 'data/images/The_Sims4_34.png']",2,1.0
